pair	gene name1	gene name2	Uniprot1	Uniprot2	PPI Score	ourID	Phys_BioGRID	Gen_BioGRID	string	ExpCont	PDB_complex	UniFun1	UniFun2	KEGG1	KEGG2	Uniloc1	Uniloc2	Phob1	Phob2	KEGGpath1	KEGGpath2	UniPubsInt	UniPubsU	Human	pdbmono1	pdbmono2	orf_name1	orf_name2	orf_name_a	orf_name_b
YFR033C_YJL166W	QCR8	QCR6	P08525	P00127	0.8604	1523793at2759_1621720at2759	na	na	999	gold	ortholog	Cytochrome b-c1 complex subunit 8, mitochondrial (Complex III subunit 8) (Complex III subunit VII) (Ubiquinol-cytochrome c oxidoreductase subunit 8) (Ubiquinol-cytochrome c reductase complex 11 kDa protein) (Ubiquinone-binding protein QP-C)	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VI) (Cytochrome c1 non-heme 17 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6) (Ubiquinol-cytochrome c reductase 17 kDa protein)	YJL166W	YFR033C	Mitochondrion inner membrane {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}; Single-pass membrane protein {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}.	Mitochondrion inner membrane {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:22984289, ECO:0000269|PubMed:30598554}; Peripheral membrane protein {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}; Intermembrane side {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}.	Transmembrane	-	metabolism	metabolism	14562106, 18390544, 11880631, 10873857, 10775262, 10764779, 30598554, 30598556, 24374639	20	both	6t15_S	6t15_Q	YJL166W	YFR033C	YFR033C	YJL166W
YER131W_YLR435W	TSR2	RPS26B	Q06672	P39939	0.8604	1401913at2759_1591366at2759	0.231	0	968	y2h	na	Pre-rRNA-processing protein TSR2 (20S rRNA accumulation protein 2)	40S ribosomal protein S26-B (Small ribosomal subunit protein eS26-B)	YLR435W	YER131W	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.	Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.	-	-	genetic	genetic	10688190, 12837249, 24374639, 14562095, 14562106	13	both	6g04_A	6z6k_Sa	YLR435W	YER131W	YER131W	YLR435W
YOR327C_YPL232W	SSO1	SNC2	P32867	P33328	0.8604	1033833at2759_1614157at2759	2.456	0.625	999	na	ortholog	Protein SSO1	Synaptobrevin homolog 2	YPL232W	YOR327C	Membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}.	Endomembrane system; Single-pass type IV membrane protein. Note=Post-Golgi vesicle membrane. {ECO:0000305}.	Transmembrane	Transmembrane	cellular,genetic	genetic	19779198, 24374639, 14562106	14	both	1fio_A	na	YPL232W	YOR327C	YOR327C	YPL232W
YDL116W_YDR113C	PDS1	NUP84	P40316	P52891	0.86	1582545at2759_671846at2759	0.001	na	194	y2h	na	Securin	Nucleoporin NUP84 (Nuclear pore protein NUP84)	YDR113C	YDL116W	Cytoplasm. Nucleus.	Nucleus, nuclear pore complex {ECO:0000269|PubMed:10684247}. Nucleus membrane; Peripheral membrane protein; Cytoplasmic side. Nucleus membrane; Peripheral membrane protein; Nucleoplasmic side. Note=Symmetric distribution.	-	-	cellular	genetic	19779198, 9169867, 24374639	17	2	5u1t_B	6x03_A	YDR113C	YDL116W	YDL116W	YDR113C
YBL078C_YOR152C	ATG8	ATG40	P38182	Q99325	0.859	1508198at2759_1709103at2759	2.228	na	796	na	na	Autophagy-related protein 8 (Autophagy-related ubiquitin-like modifier ATG8) (Cytoplasm to vacuole targeting protein 5)	Autophagy-related protein 40	YBL078C	na	Cytoplasmic vesicle, cvt vesicle membrane; Lipid-anchor. Cytoplasmic vesicle, autophagosome membrane; Lipid-anchor. Vacuole membrane; Lipid-anchor. Note=Membrane-associated through a lipid anchor. This association needs the 2 ubiquitin-like systems required for cytoplasm to vacuole transport and autophagy. ATG18 and ATG21 facilitate the recruitment of ATG8-PE to the site of autophagosome formation and protect it from premature cleavage by ATG4. Localizes to both the isolation membrane (IM) and the vacuole-isolation membrane contact site (VICS) during IM expansion. The IM is a membrane sac generated from the pre-autophagosomal structure that ultimately expands to become a mature autophagosome. Upon starvation, is also recruited to into unique membrane structures near SEC13-containing ER exit sites which lack components of the Golgi apparatus and the endosomes, and which were called a compartments for unconventional protein secretion (CUPS).	Endoplasmic reticulum membrane {ECO:0000269|PubMed:26040717}; Single-pass membrane protein {ECO:0000255}. Preautophagosomal structure membrane {ECO:0000269|PubMed:26040717}; Single-pass membrane protein {ECO:0000255}.	-	Extracellular	genetic,cellular	na	17322287, 24374639, 14562106	72	1	2kq7_A	na	YBL078C	YOR152C	YBL078C	YOR152C
YIL035C_YJR093C	CKA1	FIP1	P15790	P45976	0.859	1098380at2759_1541076at2759	0.841	na	649	na	na	Casein kinase II subunit alpha (CK II subunit alpha) (EC 2.7.11.1)	Pre-mRNA polyadenylation factor FIP1	YIL035C	YJR093C	na	Nucleus {ECO:0000269|PubMed:12819204}.	-	-	genetic,metabolism,cellular	genetic	24374639, 14562106	17	1	4mwh_A	na	YIL035C	YJR093C	YIL035C	YJR093C
YDR175C_YOR158W	PET123	RSM24	P17558	Q03976	0.8574	1401244at2759_1604037at2759	0	na	993	apms	na	37S ribosomal protein PET123, mitochondrial (Mitochondrial small ribosomal subunit protein mS26)	37S ribosomal protein S24, mitochondrial (Mitochondrial ribosomal small subunit protein 24) (Mitochondrial small ribosomal subunit protein mS35)	na	na	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:2167435}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:11278769, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	na	na	14562106, 28154081, 12392552, 25609543, 14576278, 14562095, 11278769, 24374639	15	na	5mrf_VV	5mrf_YY	YOR158W	YDR175C	YDR175C	YOR158W
YER074W-A_YNL024C-A	KSH1	YOS1	Q8TGJ3	Q3E834	0.8555	1596132at2759_1624874at2759	na	na	356	na	na	Protein kish	Protein transport protein YOS1 (YIP one suppressor protein 1)	na	na	Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Golgi apparatus membrane {ECO:0000269|PubMed:19942856}; Single-pass type I membrane protein {ECO:0000269|PubMed:19942856}.	Endoplasmic reticulum membrane {ECO:0000269|PubMed:15659647}; Multi-pass membrane protein {ECO:0000269|PubMed:15659647}. Golgi apparatus membrane {ECO:0000269|PubMed:15659647}; Multi-pass membrane protein {ECO:0000269|PubMed:15659647}.	Extracellular	Transmembrane	na	na	24374639	6	both	na	na	YNL024C-A	YER074W-A	YER074W-A	YNL024C-A
YBR017C_YOR185C	GSP2	KAP104	P32836	P38217	0.8555	1083175at2759_525700at2759	0.347	na	842	na	homolog	GTP-binding nuclear protein GSP2/CNR2	Importin subunit beta-2 (Importin-104) (Karyopherin subunit beta-2) (Karyopherin-104) (Transportin) (TRN)	YOR185C	YBR017C	Nucleus.	Cytoplasm {ECO:0000269|PubMed:8849456}. Nucleus, nuclear pore complex {ECO:0000269|PubMed:8849456}. Nucleus {ECO:0000269|PubMed:8849456}. Note=Predominantly cytoplasmic. {ECO:0000269|PubMed:8849456}.	-	-	cellular,genetic	genetic	24374639, 14562106	14	both	3wyf_D	na	YOR185C	YBR017C	YBR017C	YOR185C
YGL147C_YHL001W	RPL9A	RPL14B	P05738	P38754	0.8555	1408258at2759_1433759at2759	na	na	999	apms	ortholog	60S ribosomal protein L9-A (L8) (Large ribosomal subunit protein uL6-A) (RP24) (YL11)	60S ribosomal protein L14-B (Large ribosomal subunit protein eL14-B)	YGL147C	YHL001W	Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.	Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.	-	-	genetic	genetic	14562106, 24524803, 14562095, 22096102, 9559554, 24374639	14	both	7nrd_LK	7btb_M	YGL147C	YHL001W	YGL147C	YHL001W
YDR463W_YJL156C	STP1	SSY5	Q00947	A6ZQH6	0.855	906258at2759_950466at2759	2	na	959	na	na	Transcription factor STP1	SPS-sensor serine protease component SSY5 (Endoprotease SSY5)	na	na	Cell membrane; Peripheral membrane protein; Cytoplasmic side. Nucleus. Note=Localizes to the cytoplasm in its unprocessed form and is targeted to the nucleus after proteolytic processing upon induction by amino acids. The SCF(MET30) ubiquitin ligase complex negatively regulates nuclear accumulation of the processed form in the absence of high extracellular methionine levels.	Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.	-	-	na	na	na	25	na	na	na	YDR463W	YJL156C	YDR463W	YJL156C
YEL053C_YOR032C	MAK10	HMS1	Q02197	Q12398	0.855	1370304at2759_171695at2759	0.001	na	620	y2h	na	N-alpha-acetyltransferase 35, NatC auxiliary subunit (Glucose repressible protein MAK10) (L-A virus GAG protein N-acetyltransferase subunit MAK10) (Maintenance of killer protein 10) (N-terminal acetyltransferase C complex subunit MAK10) (NatC complex subunit MAK10)	Probable transcription factor HMS1 (High-copy MEP suppressor protein 1)	YEL053C	na	Cytoplasm {ECO:0000269|PubMed:14562095}.	Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981}.	-	-	genetic	na	24374639	9	1	6ygd_B	na	YEL053C	YOR032C	YEL053C	YOR032C
YBR082C_YDR313C	PIB1	UBC4	Q06651	P15731	0.8545	1256682at2759_1337945at2759	0.833	na	451	na	na	E3 ubiquitin-protein ligase PIB1 (EC 2.3.2.27) (Phosphatidylinositol 3-phosphate-binding protein 1) (RING-type E3 ubiquitin transferase PIB1)	Ubiquitin-conjugating enzyme E2 4 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 4) (Ubiquitin carrier protein 4) (Ubiquitin-protein ligase 4)	na	na	Endosome membrane; Peripheral membrane protein. Vacuole membrane; Peripheral membrane protein.	na	-	-	na	na	24374639, 14562106	16	both	na	5aie_B	YDR313C	YBR082C	YBR082C	YDR313C
YJR053W_YML064C	BFA1	TEM1	P47113	P38987	0.8545	1029095at2759_994076at2759	2.292	1.202	997	gold	na	Mitotic check point protein BFA1 (Cell cycle arrest protein BFA1)	Protein TEM1	YJR053W	YML064C	Cytoplasm, cytoskeleton, spindle pole.	na	-	Transmembrane	cellular	cellular	24374639, 14562106	11	na	na	na	YJR053W	YML064C	YJR053W	YML064C
YDR430C_YGR172C	CYM1	YIP1	P32898	P53039	0.854	107079at2759_1457080at2759	na	na	na	na	na	Mitochondrial presequence protease (EC 3.4.24.-) (Cytosolic metalloprotease 1) (Metalloprotease of 112 kDa)	Protein transport protein YIP1 (YPT-interacting protein 1)	YDR430C	YGR172C	Mitochondrion intermembrane space {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15606766, ECO:0000269|PubMed:15772085}. Note=May also be present in the mitochondrial matrix.	Endoplasmic reticulum membrane; Multi-pass membrane protein. Golgi apparatus membrane; Multi-pass membrane protein.	-	Transmembrane	metabolism	genetic	24374639	18	both	na	na	YDR430C	YGR172C	YDR430C	YGR172C
YGR165W_YMR188C	MRPS17	MRPS35	Q03246	P53292	0.854	1313009at2759_820604at2759	na	na	995	apms	na	37S ribosomal protein S17, mitochondrial (Mitochondrial small ribosomal subunit protein uS17m)	37S ribosomal protein S35, mitochondrial (Mitochondrial small ribosomal subunit protein mS45)	YMR188C	na	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:15543521}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	genetic	na	14562106, 28154081, 12392552, 25609543, 14562095, 24374639	14	na	5mrf_QQ	5mrf_66	YMR188C	YGR165W	YGR165W	YMR188C
YOL041C_YPL043W	NOP12	NOP4	Q08208	P37838	0.854	1176212at2759_1181291at2759	0.058	0	999	apms	homolog	Nucleolar protein 12	Nucleolar protein 4 (Nucleolar protein NOP77)	YOL041C	YPL043W	Nucleus, nucleolus {ECO:0000269|PubMed:11452019, ECO:0000269|PubMed:14562095}.	Nucleus, nucleolus.	-	-	genetic	genetic	17330950, 19779198, 24374639, 18407956, 14562106	12	both	na	na	YOL041C	YPL043W	YOL041C	YPL043W
YBL084C_YGL003C	CDH1	CDC27	P53197	P38042	0.854	1220675at2759_280620at2759	1.893	na	na	na	homolog	APC/C activator protein CDH1 (CDC20 homolog 1) (Homolog of CDC twenty 1)	Anaphase-promoting complex subunit CDC27 (Anaphase-promoting complex subunit 3) (Cell division control protein 27)	YGL003C	YBL084C	Cytoplasm {ECO:0000269|PubMed:12456658}. Nucleus {ECO:0000269|PubMed:12456658}. Note=Nuclear import and export are mediated by the importin PSE1 and the exportin MSN5.	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.	-	-	genetic,cellular	metabolism,genetic,cellular	24374639	21	both	4bh6_H	na	YGL003C	YBL084C	YBL084C	YGL003C
YDR296W_YNL252C	MHR1	MRPL17	Q06630	P36528	0.8535	1401988at2759_1402758at2759	0	na	931	apms	na	Mitochondrial homologous recombination protein 1 (Cross-linked transcription component 1) (Mitochondrial large ribosomal subunit protein mL67)	54S ribosomal protein L17, mitochondrial (Mitochondrial large ribosomal subunit protein mL46) (YmL17/YmL30)	na	na	Nucleus {ECO:0000269|PubMed:12034822}. Mitochondrion {ECO:0000269|PubMed:12034822, ECO:0000269|PubMed:12198175, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	Extracellular	na	na	17322287, 24675956, 14562106, 25609543, 14576278, 14562095, 24374639	21	2	3j6b_d	5mrf_6	YDR296W	YNL252C	YDR296W	YNL252C
YKL204W_YML031W	NDC1	EAP1	P32500	P36041	0.852	556184at2759_902167at2759	na	1	358	na	na	Nucleoporin NDC1 (Nuclear division cycle protein 1) (Nuclear pore protein NDC1)	Protein EAP1 (eIF4E-associated protein 1)	YML031W	YKL204W	Nucleus, nuclear pore complex {ECO:0000269|PubMed:10684247}. Nucleus membrane; Multi-pass membrane protein. Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body. Note=Central core structure of the nuclear pore complex. Spindle pole body, central plaque.	Cytoplasm {ECO:0000269|PubMed:14562095}.	Transmembrane	-	genetic	genetic	19779198, 24374639, 14562106	23	1	na	6fc2_D	YML031W	YKL204W	YKL204W	YML031W
YGL076C_YLR449W	RPL7A	FPR4	P05737	Q06205	0.852	1544778at2759_402681at2759	0	na	275	apms	na	60S ribosomal protein L7-A (L6) (Large ribosomal subunit protein uL30-A) (RP11) (YL8)	FK506-binding protein 4 (EC 5.2.1.8) (Histone proline isomerase) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase)	YGL076C	YLR449W	Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.	Nucleus {ECO:0000269|PubMed:14981505, ECO:0000269|PubMed:9371805}.	-	-	genetic	genetic	24374639, 14562106	26	1	7btb_F	4bf8_A	YGL076C	YLR449W	YGL076C	YLR449W
YLR099W-A_YOL026C	MIM2	MIM1	Q3E798	Q08176	0.8516	1634815at2759_1640422at2759	1	1	961	na	na	Mitochondrial import protein 2	Mitochondrial import protein 1 (Mitochondrial 13 kDa outer membrane protein)	na	na	Mitochondrion outer membrane {ECO:0000269|PubMed:22467864}; Single-pass membrane protein {ECO:0000255}.	Mitochondrion outer membrane {ECO:0000269|PubMed:15326197, ECO:0000269|PubMed:15608614}.	-	Transmembrane	na	na	22467864, 24374639	13	na	na	na	YLR099W-A	YOL026C	YLR099W-A	YOL026C
YDL100C_YGL020C	GET1	GET3	P53192	Q12154	0.851	1498067at2759_992208at2759	2.117	0.078	999	na	ortholog	Golgi to ER traffic protein 1 (Guided entry of tail-anchored proteins 1) (Mitochondrial distribution and morphology protein 39)	ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Golgi to ER traffic protein 3) (Guided entry of tail-anchored proteins 3)	YGL020C	YDL100C	Endoplasmic reticulum membrane; Multi-pass membrane protein. Golgi apparatus membrane; Multi-pass membrane protein. Mitochondrion membrane {ECO:0000269|PubMed:16823961}; Multi-pass membrane protein {ECO:0000269|PubMed:16823961}.	Cytoplasm. Endoplasmic reticulum {ECO:0000269|PubMed:24392163}. Golgi apparatus. Note=GET1 and GET2 are required for targeting GET3 to the endoplasmic reticulum.	Transmembrane	-	genetic,cellular	cellular,genetic	14562106, 21719644, 16269340, 24392163, 14562095, 11805837, 16816426, 32910895, 18724936, 24374639	26	2	3sjb_D	3zs9_B	YGL020C	YDL100C	YDL100C	YGL020C
YDL006W_YDR103W	PTC1	STE5	P35182	P32917	0.8506	1044139at2759_1510489at2759	0.5	na	774	na	na	Protein phosphatase 2C homolog 1 (PP2C-1) (EC 3.1.3.16)	Protein STE5	YDL006W	YDR103W	na	Cytoplasm.	-	-	metabolism	na	9169867, 24374639, 14562106	12	1	na	4f2h_A	YDL006W	YDR103W	YDL006W	YDR103W
YNL042W_YOR370C	MRS6	BOP3	P32864	P53958	0.8496	1017439at2759_1301984at2759	na	na	na	na	na	Rab proteins geranylgeranyltransferase component A (Rab escort protein) (REP)	Protein BOP3 (Bypass of PAM1 protein 3)	YOR370C	na	na	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.	-	-	genetic,metabolism	na	24374639	13	1	na	na	YOR370C	YNL042W	YNL042W	YOR370C
YHR191C_YKL198C	CTF8	PTK1	P38877	P36002	0.849	1551444at2759_725553at2759	na	na	na	na	na	Chromosome transmission fidelity protein 8	Serine/threonine-protein kinase PTK1/STK1 (EC 2.7.11.1)	YHR191C	YKL198C	Nucleus {ECO:0000269|PubMed:11389843}. Note=Associates with chromatin.	na	-	-	genetic	na	24374639	8	na	6s2f_D	na	YHR191C	YKL198C	YHR191C	YKL198C
YLR443W_YMR200W	ROT1	ECM7	A6ZMR2	Q06200	0.849	1494547at2759_937382at2759	na	na	na	na	na	Protein ROT1 (Reversal of TOR2 lethality protein 1)	Protein ECM7 (Extracellular mutant protein 7) (Zinc-regulated gene 15 protein)	na	na	Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.	Membrane; Multi-pass membrane protein.	Transmembrane	Transmembrane	na	na	na	8	na	na	na	YMR200W	YLR443W	YLR443W	YMR200W
YDL209C_YLL036C	PRP19	CWC2	P32523	Q12046	0.849	1049599at2759_877856at2759	2.423	na	999	gold	ortholog	Pre-mRNA-processing factor 19 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase PRP19)	Pre-mRNA-splicing factor CWC2 (Complexed with CEF1 protein 2) (PRP19-associated complex protein 40) (Synthetic lethal with CLF1 protein 3)	YLL036C	na	Nucleus {ECO:0000305}.	Nucleus {ECO:0000269|PubMed:14562095}.	-	-	genetic	na	11884590, 19779198, 14690591, 24374639, 14562106	23	1	7dco_r	7b9v_M	YLL036C	YDL209C	YDL209C	YLL036C
YER025W_YPR041W	GCD11	TIF5	P32481	P38431	0.8486	903135at2759_979826at2759	0.589	na	999	lit	ortholog	Eukaryotic translation initiation factor 2 subunit gamma (eIF-2-gamma) (EC 3.6.5.3)	Eukaryotic translation initiation factor 5 (eIF-5)	YER025W	YPR041W	na	na	-	-	genetic	genetic	24374639, 18407956, 14562106	29	both	6qg6_N	6fyy_m	YER025W	YPR041W	YER025W	YPR041W
YBR251W_YHL004W	MRPS5	MRP4	P33759	P32902	0.8486	1093380at2759_573006at2759	0.032	na	999	apms	ortholog	37S ribosomal protein S5, mitochondrial (Mitochondrial small ribosomal subunit protein uS5m)	37S ribosomal protein MRP4, mitochondrial (Mitochondrial small ribosomal subunit protein uS2m)	YBR251W	YHL004W	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	genetic	genetic	14562106, 28154081, 12392552, 25609543, 14576278, 14562095, 11278769, 24374639	13	2	5mrf_EE	5mrf_BB	YBR251W	YHL004W	YBR251W	YHL004W
YER133W_YMR037C	MSN2	GLC7	P33748	P32598	0.8486	1617199at2759_766640at2759	0.5	na	894	na	na	Zinc finger protein MSN2 (Multicopy suppressor of SNF1 protein 2)	Serine/threonine-protein phosphatase PP1-2 (EC 3.1.3.16)	YMR037C	YER133W	Cytoplasm. Nucleus.	Cytoplasm {ECO:0000269|PubMed:12819204}. Nucleus {ECO:0000269|PubMed:12819204}.	-	-	genetic,cellular	metabolism,cellular,genetic	24374639, 14562106	24	2	na	na	YMR037C	YER133W	YER133W	YMR037C
YGL025C_YOL072W	PGD1	THP1	P40356	Q08231	0.8486	1641792at2759_706700at2759	na	1.333	497	na	na	Mediator of RNA polymerase II transcription subunit 3 (Hyper-recombination suppressor protein 1) (Mediator complex subunit 3) (Poly-glutamine domain protein 1)	Nuclear mRNA export protein THP1 (Bud site selection protein 29)	YGL025C	YOL072W	Nucleus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16630888, ECO:0000269|PubMed:8849881}.	Nucleus envelope {ECO:0000269|PubMed:12206772, ECO:0000269|PubMed:12411502, ECO:0000269|PubMed:14562095}. Note=Localizes to the nuclear pores.	-	-	genetic	genetic	24374639, 14562095, 14562106	29	2	na	5ubp_B	YGL025C	YOL072W	YGL025C	YOL072W
YDR129C_YLR429W	SAC6	CRN1	P32599	Q06440	0.848	312506at2759_552726at2759	na	0	962	apms	na	Fimbrin (ABP67)	Coronin-like protein	YDR129C	YLR429W	na	na	-	-	cellular	cellular	19779198, 24374639, 14562106	11	both	na	na	YDR129C	YLR429W	YDR129C	YLR429W
YOR158W_YPL118W	PET123	MRP51	P17558	Q02950	0.8477	1401244at2759_1430608at2759	na	na	983	apms	na	37S ribosomal protein PET123, mitochondrial (Mitochondrial small ribosomal subunit protein mS26)	37S ribosomal protein MRP51, mitochondrial (Mitochondrial small ribosomal subunit protein bS1m)	na	na	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:2167435}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:9528754}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	na	na	22814378, 14562106, 28154081, 12392552, 25609543, 14576278, 14562095, 11278769, 24374639	17	na	5mrf_VV	5mrf_AA	YOR158W	YPL118W	YOR158W	YPL118W
YDL204W_YDR233C	RTN1	RTN2	Q04947	Q12443	0.8467	1106300at2759_1121487at2759	0.333	na	583	na	na	Reticulon-like protein 1	Reticulon-like protein 2	na	na	Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.	Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.	Transmembrane	Transmembrane	na	na	12832288, 18407956, 9169867, 14562095, 16847258, 24374639	11	na	na	na	YDR233C	YDL204W	YDL204W	YDR233C
YMR061W_YOL123W	HRP1	RNA14	Q99383	P25298	0.845	1104126at2759_331411at2759	0.833	0.333	991	na	na	Nuclear polyadenylated RNA-binding protein 4 (Cleavage factor IB) (CFIB)	mRNA 3'-end-processing protein RNA14	YOL123W	YMR061W	Cytoplasm. Nucleus.	Nucleus. Cytoplasm. Note=Nucleus and/or cytoplasm.	-	-	genetic	genetic	24374639, 11344258	21	2	2km8_C	na	YOL123W	YMR061W	YMR061W	YOL123W
YKR008W_YMR033W	ARP9	RSC4	Q05123	Q02206	0.8413	511789at2759_771408at2759	0.012	na	993	lit	na	Actin-like protein ARP9 (Chromatin structure-remodeling complex protein ARP9) (SWI/SNF complex component ARP9)	Chromatin structure-remodeling complex subunit RSC4 (RSC complex subunit RSC4) (Remodel the structure of chromatin complex subunit 4)	YMR033W	YKR008W	Nucleus {ECO:0000269|PubMed:12697820}. Note=Localizes to centromeric and flanking chromatin. Association with these loci is dependent on STH1.	Nucleus {ECO:0000269|PubMed:12697820, ECO:0000269|PubMed:14562095}. Note=Localizes to centromeric and flanking chromatin. Association with these loci is dependent on STH1.	-	-	genetic	genetic	12183366, 8980231, 14562106, 10329629, 10619019, 10025404, 24374639, 12697820, 12072455	22	na	7c4j_L	6v92_H	YMR033W	YKR008W	YKR008W	YMR033W
YGR013W_YIL061C	SNU71	SNP1	P53207	Q00916	0.841	1312368at2759_1430110at2759	0.283	na	999	lit	na	U1 small nuclear ribonucleoprotein component SNU71	U1 small nuclear ribonucleoprotein 70 kDa homolog (U1 70K) (U1 snRNP 70 kDa homolog) (U1-70K) (U1 small nuclear ribonucleoprotein SNP1) (U1 snRNP protein SNP1)	na	na	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.	Nucleus {ECO:0000250}.	-	-	na	na	9630245, 11804584, 24374639, 14562106	19	2	6n7x_H	6n7x_A	YGR013W	YIL061C	YGR013W	YIL061C
